IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.30,2025-01-13 14:58:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.18,2025-01-13 14:58:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.97,2025-01-13 14:58:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.84,2025-01-13 14:58:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.60,2025-01-13 14:58:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.31,2025-01-13 14:58:08,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.33,2025-01-13 14:58:10,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.32,2025-01-13 14:58:10,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.57,2025-01-13 14:58:13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.60,2025-01-13 14:58:13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.32,2025-01-13 14:58:14,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.30,2025-01-13 14:58:16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.19,2025-01-13 14:58:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.53,2025-01-13 14:58:19,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.15,2025-01-13 14:58:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.09,2025-01-13 14:58:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.24,2025-01-13 14:58:22,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.15,2025-01-13 14:58:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.25,2025-01-13 14:58:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.05,2025-01-13 14:58:25,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.00,2025-01-13 14:58:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.09,2025-01-13 14:58:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.11,2025-01-13 14:58:28,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.14,2025-01-13 14:58:28,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.00,2025-01-13 14:58:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.89,2025-01-13 14:58:31,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.00,2025-01-13 14:58:31,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.03,2025-01-13 14:58:32,192.168.7.31,LAN
