IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:14,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:14,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:19,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:24,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:24,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:30,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:32,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:32,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:33,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:36,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:18:38,192.168.7.31,LAN
