IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.21,2025-01-13 14:58:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.03,2025-01-13 14:58:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.93,2025-01-13 14:58:36,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.17,2025-01-13 14:58:38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.26,2025-01-13 14:58:38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.13,2025-01-13 14:58:39,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.32,2025-01-13 14:58:41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.13,2025-01-13 14:58:41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.15,2025-01-13 14:58:42,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,39.27,2025-01-13 14:58:44,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.94,2025-01-13 14:58:44,192.168.7.31,LAN
