IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.31,2025-01-13 15:01:24,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.17,2025-01-13 15:01:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.17,2025-01-13 15:01:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.20,2025-01-13 15:01:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.33,2025-01-13 15:01:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.26,2025-01-13 15:01:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.29,2025-01-13 15:01:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.20,2025-01-13 15:01:30,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.36,2025-01-13 15:01:32,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,41.99,2025-01-13 15:01:32,192.168.7.31,LAN
