IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.52,2025-01-13 15:02:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.22,2025-01-13 15:02:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.02,2025-01-13 15:02:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.97,2025-01-13 15:02:08,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.07,2025-01-13 15:02:08,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.13,2025-01-13 15:02:09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.05,2025-01-13 15:02:11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.88,2025-01-13 15:02:11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.21,2025-01-13 15:02:12,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.04,2025-01-13 15:02:12,192.168.7.31,LAN
