IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:14,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:19,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:19,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:22,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-47.89,2025-01-13 15:19:23,192.168.7.31,LAN
