IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.00,2025-01-13 15:01:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.54,2025-01-13 15:01:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.61,2025-01-13 15:01:36,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.72,2025-01-13 15:01:36,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.37,2025-01-13 15:01:38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.03,2025-01-13 15:01:40,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.30,2025-01-13 15:01:41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.49,2025-01-13 15:01:43,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.33,2025-01-13 15:01:43,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.43,2025-01-13 15:01:44,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.27,2025-01-13 15:01:46,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.49,2025-01-13 15:01:46,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.26,2025-01-13 15:01:47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.02,2025-01-13 15:01:47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.51,2025-01-13 15:01:49,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.42,2025-01-13 15:01:49,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.59,2025-01-13 15:01:50,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.22,2025-01-13 15:01:52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.27,2025-01-13 15:01:52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.56,2025-01-13 15:01:53,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.94,2025-01-13 15:01:55,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.13,2025-01-13 15:01:55,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.07,2025-01-13 15:01:56,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,43.03,2025-01-13 15:01:56,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.85,2025-01-13 15:01:58,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.92,2025-01-13 15:01:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.89,2025-01-13 15:01:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.80,2025-01-13 15:02:01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.66,2025-01-13 15:02:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,42.80,2025-01-13 15:02:02,192.168.7.31,LAN
