IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.58,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.46,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.53,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.77,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.89,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.89,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.94,192.168.7.31,LAN
