IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-2.57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG,-0.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG,-0.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.22,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.18,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG,-0.51,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 0.29,192.168.7.31,LAN
