IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.76,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.80,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.34,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.32,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.42,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.44,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.47,192.168.7.31,LAN
