IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.69,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.71,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.86,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.70,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.82,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.37,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.42,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.50,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.80,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.80,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 5.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.10,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.10,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.15,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.14,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 6.86,192.168.7.31,LAN
