IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.00,2025-01-11 10:56:09,192.168.7.31,LAN
