IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:22,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:25,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:28,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:11:29,192.168.7.31,LAN
