IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:08,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:12,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:12,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:18,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:21,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:24,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.26,2025-01-11 11:07:29,192.168.7.31,LAN
