IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:34,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:37,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:39,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.26,2025-01-11 11:03:42,192.168.7.31,LAN
