IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:00:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:00:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,2025-01-22 03:01:08,192.168.7.31,LAN
