IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,2025-01-22 12:34:55,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,19.02,2025-01-22 15:51:23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,20.14,2025-01-22 15:51:24,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,18.52,2025-01-22 15:51:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,18.57,2025-01-22 15:51:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,18.14,2025-01-22 15:51:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,17.66,2025-01-22 15:51:27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,16.97,2025-01-22 15:51:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,17.14,2025-01-22 15:51:29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,16.47,2025-01-22 15:51:30,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,16.18,2025-01-22 15:51:32,192.168.7.31,LAN
